,titles,descriptions,score
10,Ted Cruz vs. Beto O'Rourke: Texas Senate candidates clash in debate,"Texas Senate candidates Ted Cruz and Beto O'Rourke faced off in their final debate Tuesday night. Scott Braddock, editor at Quorum Report, joined CBSN from Austin, Texas with more on this heated debate.",0.0
11,"""TED CRUZ"" — A Bad Lip Reading","It's time for a new kind of leader....
Like on Facebook! http://www.facebook.com/badlipreading
Follow on Twitter! http://twitter.com/badlipreading",-0.03425
12,Watch President Donald Trump And Ted Cruz Move From Bitter Rivals To BFF's | NBC News,"President Trump and Sen. Ted Cruz traded barbs during the 2016 presidential campaign but those comments seem forgotten during a rally in Houston, Texas.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

Watch President Donald Trump And Ted Cruz Move From Bitter Rivals To BFF's | NBC News",-0.015600000000000003
13,Beto O'Rourke Lays Into Ted Cruz During Texas Debate As He Tries To Gain Momentum In Polls | TIME,"Democrat Beto O’Rourke abandoned his usual message of unity and optimism and laid into Ted Cruz, hoping to reverse polls that show him fading against the Republican incumbent during the second debate of a Texas Senate race. 
Subscribe to TIME ►► http://po.st/SubscribeTIME
 
Get closer to the world of entertainment and celebrity news as TIME gives you access and insight on the people who make what you watch, read and share.
https://www.youtube.com/playlist?list=PL2EFFA5DB900C633F
 
Money helps you learn how to spend and invest your money. Find advice and guidance you can count on from how to negotiate, how to save and everything in between.
https://www.youtube.com/playlist?list=PLYOGLpQQfhNKdqS_Wccs94rMHiajrRr4W
 
Find out more about the latest developments in science and technology as TIME’s access brings you to the ideas and people changing our world.
https://www.youtube.com/playlist?list=PLYOGLpQQfhNIzsgcwqhT6ctKOfHfyuaL3
 
Let TIME show you everything you need to know about drones, autonomous cars, smart devices and the latest inventions which are shaping industries and our way of living
https://www.youtube.com/playlist?list=PL2862F811BE8F5623
 
Stay up to date on breaking news from around the world through TIME’s trusted reporting, insight and access
https://www.youtube.com/playlist?list=PLYOGLpQQfhNJeIsW3A2d5Bs22Wc3PHma6

CONNECT WITH TIME
Web: http://time.com/
Twitter: https://twitter.com/TIME
Facebook: https://www.facebook.com/time 
Google+: https://plus.google.com/+TIME/videos
Instagram: https://www.instagram.com/time/?hl=en
Magazine: http://time.com/magazine/
Newsletter: time.com/newsletter

ABOUT TIME
TIME brings unparalleled insight, access and authority to the news. A 24/7 news publication with nearly a century of experience, TIME’s coverage shapes how we understand our world. Subscribe for daily news, interviews, science, technology, politics, health, entertainment, and business updates, as well as exclusive videos from TIME’s Person of the Year, TIME 100 and more created by TIME’s acclaimed writers, producers and editors.
 
Beto O'Rourke Lays Into Ted Cruz During Texas Debate As He Tries To Gain Momentum In Polls | TIME
https://www.youtube.com/user/TimeMagazine",0.75525
14,Ted Cruz wins tough election against Beto O'Rourke for Texas Senate seat,"Texas Republican Sen. Ted Cruz won his bid for reelection Tuesday night, fending off a strong challenge from Democrat Beto O'Rourke. O'Rourke energized Democrats in the state, but Cruz got backing from President Trump in the red state. CBS News' Omar Villafranca has the latest from Cruz's election night celebration.",0.60395
15,"TED CRUZ: ""The Left Has Lost It. They Are The Destroy President Trump Party""",,-0.23835
16,Ted Cruz's entire Republican National Convention speech,Sen. Ted Cruz stopped short of endorsing Donald Trump for president and was then upstaged by the Republican nominee himself at the Republican National Convention in Cleveland.,-0.11315
17,Ted Cruz And Beto O’Rourke Clash In First Debate For Texas Senate Seat | NBC Nightly News,"Republican incumbent Ted Cruz and Democrat Beto O’Rourke had a heated exchange in their first debate, with Cruz labelling his opponent as too extreme and O’Rourke taking a jab at Cruz for being an absent Senator while running for president.",0.0
18,"President Donald Trump Praises Ted Cruz, Calls Beto O'Rourke 'Stone Cold Phony' At Rally | NBC News","President Trump praised his one-time rival Sen. Ted Cruz at a campaign rally in Houston, Texas.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

President Donald Trump Praises Ted Cruz, Calls Beto O'Rourke 'Stone Cold Phony' At Rally | NBC News",0.71825
19,Ted Cruz's full reelection victory speech,"Sen. Ted Cruz (R-Texas) defeated Democrat Beto O’Rourke on Nov. 6 and said he would ""represent every Texan."" Read more: https://wapo.st/2JNGzHm. Subscribe to The Washington Post on YouTube: http://bit.ly/2qiJ4dy

Follow us:
Twitter: https://twitter.com/washingtonpost
Instagram: https://www.instagram.com/washingtonpost/
Facebook: https://www.facebook.com/washingtonpost/",-0.23835
